	favorite_count	retweet_count	tweet_id
0	38262	8381	892420643555336193
1	32800	6189	892177421306343426
2	24697	4095	891815181378084864
3	41591	8516	891689557279858688
4	39771	9235	891327558926688256
5	19960	3068	891087950875897856
6	11682	2039	890971913173991426
7	64579	18614	890729181411237888
8	27432	4213	890609185150312448
9	31486	7280	890240255349198849
10	30257	7229	890006608113172480
11	27414	4903	889880896479866881
12	47489	9919	889665388333682689
13	26809	4481	889638837579907072
14	14903	2210	889531135344209921
15	24920	5305	889278841981685760
16	28701	4432	888917238123831296
17	25232	4239	888804989199671297
18	19587	3502	888554962724278272
19	21475	3448	888078434458587136
20	29767	5317	887705289381826560
21	45657	11506	887517139158093824
22	68183	17935	887473957103951883
23	33229	10258	887343217045368832
24	30164	5883	887101392804085760
25	34703	7670	886983233522544640
26	11889	3238	886736880519319552
27	22142	4402	886680336477933568
28	20900	3156	886366144734445568
29	116	4	886267009285017600
30	27623	6192	886258384151887873
31	0	105	886054160059072513
32	32245	6706	885984800019947520
33	35516	6339	885528943205470208
34	20156	3708	885518971528720385
35	0	18335	885311592912609280
36	21644	4324	885167619883638784
37	76438	18066	884925521741709313
38	27560	5587	884876753390489601
39	23995	4688	884562892145688576
40	26649	5579	884441805382717440
41	72104	20195	884247878851493888
42	20093	2947	884162670584377345
43	21628	3404	883838122936631299
44	45344	9826	883482846933004288
45	22282	3631	883360690899218434
46	36725	6587	883117836046086144
47	23660	3869	882992080364220416
48	27954	4856	882762694511734784
49	27567	6008	882627270321602560
50	44385	11452	882268110199369728
51	28985	4909	882045870035918850
52	24010	3353	881906580714921986
53	49949	10538	881666595344535552
54	124	7	881633300179243008
55	48833	15757	881536004380872706
56	22794	5107	881268444196462592
57	16804	2750	880935762899988482
58	21010	3771	880872448815771648
59	28182	6205	880465832366813184
60	26731	4168	880221127280381952
61	27296	4308	880095782870896641
62	22058	3458	879862464715927552
63	310	10	879674319642796034
64	23129	3147	879492040517615616
65	104595	43673	879415818425184262
66	16573	3088	879376492567855104
67	0	6753	879130579576475649
68	22297	4673	879050749262655488
69	18750	2667	879008229531029506
70	19183	4083	878776093423087618
